incident_id,crime_type,latitude,longitude,date,time,severity,ward,weather,risk_score
1,street_fight,12.972208,77.486464,07-06-2025,00:00,high,Malleshwaram,clear,90
2,harassment,13.083608,77.658632,11-08-2025,15:57,moderate,MG Road,clear,34
3,vehicle_theft,12.921168,77.656151,10-08-2025,20:21,high,Koramangala,rainy,14
4,street_fight,12.889661,77.703475,09-06-2025,14:33,high,Koramangala,clear,82
5,harassment,13.06159,77.573739,04-11-2025,20:09,moderate,Koramangala,cloudy,48
6,cybercrime,12.810098,77.642743,15-09-2025,17:52,low,MG Road,clear,40
7,cybercrime,12.904849,77.710748,21-09-2025,01:20,low,BTM,rainy,29
8,vandalism,12.816332,77.74659,08-07-2025,11:29,low,Jayanagar,cloudy,46
9,cybercrime,13.023042,77.654208,21-10-2025,22:16,low,Jayanagar,cloudy,70
10,vandalism,13.075898,77.778852,03-04-2025,09:17,low,BTM,clear,44
11,road_accident,12.82405,77.656962,18-06-2025,05:23,high,Indiranagar,rainy,38
12,burglary,12.871469,77.444514,29-07-2025,20:28,critical,Koramangala,humid,12
13,vandalism,12.901969,77.423739,09-11-2025,17:22,low,Malleshwaram,cloudy,35
14,vehicle_theft,12.98855,77.777143,12-07-2025,04:48,high,Indiranagar,rainy,20
15,road_accident,12.862473,77.434639,13-10-2025,14:00,high,Indiranagar,clear,40
16,road_accident,12.809885,77.70862,04-05-2025,20:34,high,MG Road,rainy,82
17,public_damage,13.013059,77.621201,28-06-2025,09:53,moderate,Indiranagar,humid,93
18,harassment,12.956478,77.685498,14-08-2025,05:15,moderate,Jayanagar,clear,73
19,harassment,13.00002,77.72721,06-05-2025,14:57,moderate,Jayanagar,cloudy,42
20,road_accident,12.906524,77.774768,24-05-2025,06:15,high,Electronic City,humid,49
21,chain_snatching,12.973074,77.785602,17-07-2025,17:24,high,Koramangala,rainy,21
22,burglary,12.888848,77.735873,07-10-2025,08:44,critical,Malleshwaram,cloudy,30
23,chain_snatching,12.894506,77.735884,11-05-2025,21:44,high,Malleshwaram,cloudy,85
24,vandalism,13.086661,77.65864,27-09-2025,06:35,low,Indiranagar,rainy,94
25,chain_snatching,12.943109,77.534976,12-07-2025,00:24,high,Indiranagar,cloudy,37
26,pickpocketing,12.807831,77.749615,04-05-2025,12:04,moderate,Malleshwaram,clear,48
27,cybercrime,13.018893,77.744053,15-09-2025,12:30,low,BTM,cloudy,42
28,chain_snatching,13.073166,77.571057,24-10-2025,16:24,high,Electronic City,cloudy,71
29,burglary,12.925651,77.639641,09-06-2025,07:54,critical,Koramangala,cloudy,39
30,street_fight,13.06376,77.785503,26-06-2025,06:35,high,Indiranagar,cloudy,17
31,vandalism,12.818829,77.523733,06-09-2025,10:02,low,Malleshwaram,cloudy,10
32,assault,12.934196,77.511471,08-08-2025,04:57,high,Whitefield,humid,94
33,cybercrime,12.85147,77.792966,07-09-2025,04:27,low,Koramangala,humid,23
34,pickpocketing,12.932015,77.597877,11-10-2025,07:51,moderate,Indiranagar,clear,90
35,road_accident,12.822841,77.487763,06-09-2025,18:55,high,Yelahanka,clear,18
